"year","prov","sector","scenario","emissions"
2020,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2020,"Northwest Territories","Electricity","2022 Reference Case",0
2020,"Northwest Territories","Electricity","NIR 2022",0
2020,"ON","Electricity","2022 Additional Measures Scenario",0
2020,"ON","Electricity","2022 Reference Case",0
2020,"ON","Electricity","NIR 2022",3.2
2020,"QC","Electricity","2022 Additional Measures Scenario",0
2020,"QC","Electricity","2022 Reference Case",0
2020,"QC","Electricity","NIR 2022",0.4
2020,"SK","Electricity","2022 Additional Measures Scenario",0
2020,"SK","Electricity","2022 Reference Case",0
2020,"SK","Electricity","NIR 2022",12.6
2021,"AB","Electricity","2022 Additional Measures Scenario",28.4
2021,"AB","Electricity","2022 Reference Case",28.4
2021,"AB","Electricity","NIR 2022",0
2021,"BC","Electricity","2022 Additional Measures Scenario",0.3
2021,"BC","Electricity","2022 Reference Case",0.3
2021,"BC","Electricity","NIR 2022",0
2021,"Canada","Electricity","2022 Additional Measures Scenario",59.3
2021,"Canada","Electricity","2022 Reference Case",59.3
2021,"Canada","Electricity","NIR 2022",0
2021,"MB","Electricity","2022 Additional Measures Scenario",0
2021,"MB","Electricity","2022 Reference Case",0
2021,"MB","Electricity","NIR 2022",0
2021,"ATL","Electricity","2022 Additional Measures Scenario",9.2
2021,"ATL","Electricity","2022 Reference Case",9.2
2021,"ATL","Electricity","NIR 2022",0
2021,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2021,"Northwest Territories","Electricity","2022 Reference Case",0
2021,"Northwest Territories","Electricity","NIR 2022",0
2021,"ON","Electricity","2022 Additional Measures Scenario",7.3
2021,"ON","Electricity","2022 Reference Case",7.2
2021,"ON","Electricity","NIR 2022",0
2021,"QC","Electricity","2022 Additional Measures Scenario",0.4
2021,"QC","Electricity","2022 Reference Case",0.4
2021,"QC","Electricity","NIR 2022",0
2021,"SK","Electricity","2022 Additional Measures Scenario",13.4
2021,"SK","Electricity","2022 Reference Case",13.4
2021,"SK","Electricity","NIR 2022",0
2022,"AB","Electricity","2022 Additional Measures Scenario",27.3
2022,"AB","Electricity","2022 Reference Case",27.3
2022,"AB","Electricity","NIR 2022",0
2022,"BC","Electricity","2022 Additional Measures Scenario",0.3
2022,"BC","Electricity","2022 Reference Case",0.3
2022,"BC","Electricity","NIR 2022",0
2022,"Canada","Electricity","2022 Additional Measures Scenario",61.1
2022,"Canada","Electricity","2022 Reference Case",60.8
2022,"Canada","Electricity","NIR 2022",0
2022,"MB","Electricity","2022 Additional Measures Scenario",0
2022,"MB","Electricity","2022 Reference Case",0
2022,"MB","Electricity","NIR 2022",0
2022,"ATL","Electricity","2022 Additional Measures Scenario",10.2
2022,"ATL","Electricity","2022 Reference Case",10.2
2022,"ATL","Electricity","NIR 2022",0
2022,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2022,"Northwest Territories","Electricity","2022 Reference Case",0
2022,"Northwest Territories","Electricity","NIR 2022",0
2022,"ON","Electricity","2022 Additional Measures Scenario",12
2022,"ON","Electricity","2022 Reference Case",11.7
2022,"ON","Electricity","NIR 2022",0
2022,"QC","Electricity","2022 Additional Measures Scenario",0.6
2022,"QC","Electricity","2022 Reference Case",0.6
2022,"QC","Electricity","NIR 2022",0
2022,"SK","Electricity","2022 Additional Measures Scenario",10.4
2022,"SK","Electricity","2022 Reference Case",10.4
2022,"SK","Electricity","NIR 2022",0
2023,"AB","Electricity","2022 Additional Measures Scenario",22.2
2023,"AB","Electricity","2022 Reference Case",23.7
2023,"AB","Electricity","NIR 2022",0
2023,"BC","Electricity","2022 Additional Measures Scenario",0.2
2023,"BC","Electricity","2022 Reference Case",0.2
2023,"BC","Electricity","NIR 2022",0
2023,"Canada","Electricity","2022 Additional Measures Scenario",52.9
2023,"Canada","Electricity","2022 Reference Case",54.6
2023,"Canada","Electricity","NIR 2022",0
2023,"MB","Electricity","2022 Additional Measures Scenario",0
2023,"MB","Electricity","2022 Reference Case",0
2023,"MB","Electricity","NIR 2022",0
2023,"ATL","Electricity","2022 Additional Measures Scenario",8.8
2023,"ATL","Electricity","2022 Reference Case",8.8
2023,"ATL","Electricity","NIR 2022",0
2023,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2023,"Northwest Territories","Electricity","2022 Reference Case",0
2023,"Northwest Territories","Electricity","NIR 2022",0
2023,"ON","Electricity","2022 Additional Measures Scenario",12.8
2023,"ON","Electricity","2022 Reference Case",12.7
2023,"ON","Electricity","NIR 2022",0
2023,"QC","Electricity","2022 Additional Measures Scenario",0.4
2023,"QC","Electricity","2022 Reference Case",0.4
2023,"QC","Electricity","NIR 2022",0
2023,"SK","Electricity","2022 Additional Measures Scenario",8.3
2023,"SK","Electricity","2022 Reference Case",8.5
2023,"SK","Electricity","NIR 2022",0
2024,"AB","Electricity","2022 Additional Measures Scenario",14.8
2024,"AB","Electricity","2022 Reference Case",17
2024,"AB","Electricity","NIR 2022",0
2024,"BC","Electricity","2022 Additional Measures Scenario",0.2
2024,"BC","Electricity","2022 Reference Case",0.2
2024,"BC","Electricity","NIR 2022",0
2024,"Canada","Electricity","2022 Additional Measures Scenario",43.6
2024,"Canada","Electricity","2022 Reference Case",45.1
2024,"Canada","Electricity","NIR 2022",0
2024,"MB","Electricity","2022 Additional Measures Scenario",0
2024,"MB","Electricity","2022 Reference Case",0
2024,"MB","Electricity","NIR 2022",0
2024,"ATL","Electricity","2022 Additional Measures Scenario",8.8
2024,"ATL","Electricity","2022 Reference Case",8.8
2024,"ATL","Electricity","NIR 2022",0
2024,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2024,"Northwest Territories","Electricity","2022 Reference Case",0
2024,"Northwest Territories","Electricity","NIR 2022",0
2024,"ON","Electricity","2022 Additional Measures Scenario",12
2024,"ON","Electricity","2022 Reference Case",11.9
2024,"ON","Electricity","NIR 2022",0
2024,"QC","Electricity","2022 Additional Measures Scenario",0.4
2024,"QC","Electricity","2022 Reference Case",0.5
2024,"QC","Electricity","NIR 2022",0
2024,"SK","Electricity","2022 Additional Measures Scenario",7
2024,"SK","Electricity","2022 Reference Case",6.5
2024,"SK","Electricity","NIR 2022",0
2025,"AB","Electricity","2022 Additional Measures Scenario",11.4
2025,"AB","Electricity","2022 Reference Case",13.9
2025,"AB","Electricity","NIR 2022",0
2025,"BC","Electricity","2022 Additional Measures Scenario",0.1
2025,"BC","Electricity","2022 Reference Case",0.2
2025,"BC","Electricity","NIR 2022",0
2025,"Canada","Electricity","2022 Additional Measures Scenario",36.4
2025,"Canada","Electricity","2022 Reference Case",40.5
2025,"Canada","Electricity","NIR 2022",0
2025,"MB","Electricity","2022 Additional Measures Scenario",0
2025,"MB","Electricity","2022 Reference Case",0
2025,"MB","Electricity","NIR 2022",0
2025,"ATL","Electricity","2022 Additional Measures Scenario",6.8
2025,"ATL","Electricity","2022 Reference Case",7.2
2025,"ATL","Electricity","NIR 2022",0
2025,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2025,"Northwest Territories","Electricity","2022 Reference Case",0
2025,"Northwest Territories","Electricity","NIR 2022",0
2025,"ON","Electricity","2022 Additional Measures Scenario",12.1
2025,"ON","Electricity","2022 Reference Case",12.4
2025,"ON","Electricity","NIR 2022",0
2025,"QC","Electricity","2022 Additional Measures Scenario",0.1
2025,"QC","Electricity","2022 Reference Case",0.3
2025,"QC","Electricity","NIR 2022",0
2025,"SK","Electricity","2022 Additional Measures Scenario",5.8
2025,"SK","Electricity","2022 Reference Case",6.4
2025,"SK","Electricity","NIR 2022",0
2026,"AB","Electricity","2022 Additional Measures Scenario",11.1
2026,"AB","Electricity","2022 Reference Case",14.4
2026,"AB","Electricity","NIR 2022",0
2026,"BC","Electricity","2022 Additional Measures Scenario",0.2
2026,"BC","Electricity","2022 Reference Case",0.2
2026,"BC","Electricity","NIR 2022",0
2026,"Canada","Electricity","2022 Additional Measures Scenario",38.7
2026,"Canada","Electricity","2022 Reference Case",43.4
2026,"Canada","Electricity","NIR 2022",0
2026,"MB","Electricity","2022 Additional Measures Scenario",0
2026,"MB","Electricity","2022 Reference Case",0
2026,"MB","Electricity","NIR 2022",0
2026,"ATL","Electricity","2022 Additional Measures Scenario",5.8
2026,"ATL","Electricity","2022 Reference Case",6.7
2026,"ATL","Electricity","NIR 2022",0
2026,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2026,"Northwest Territories","Electricity","2022 Reference Case",0
2026,"Northwest Territories","Electricity","NIR 2022",0
2026,"ON","Electricity","2022 Additional Measures Scenario",15.7
2026,"ON","Electricity","2022 Reference Case",15.3
2026,"ON","Electricity","NIR 2022",0
2026,"QC","Electricity","2022 Additional Measures Scenario",0.2
2026,"QC","Electricity","2022 Reference Case",0.4
2026,"QC","Electricity","NIR 2022",0
2026,"SK","Electricity","2022 Additional Measures Scenario",5.6
2026,"SK","Electricity","2022 Reference Case",6.2
2026,"SK","Electricity","NIR 2022",0
2027,"AB","Electricity","2022 Additional Measures Scenario",7
2027,"AB","Electricity","2022 Reference Case",13.6
2027,"AB","Electricity","NIR 2022",0
2027,"BC","Electricity","2022 Additional Measures Scenario",0.1
2027,"BC","Electricity","2022 Reference Case",0.2
2027,"BC","Electricity","NIR 2022",0
2027,"Canada","Electricity","2022 Additional Measures Scenario",30.3
2027,"Canada","Electricity","2022 Reference Case",39.7
2027,"Canada","Electricity","NIR 2022",0
2027,"MB","Electricity","2022 Additional Measures Scenario",0
2027,"MB","Electricity","2022 Reference Case",0
2027,"MB","Electricity","NIR 2022",0
2027,"ATL","Electricity","2022 Additional Measures Scenario",4.7
2027,"ATL","Electricity","2022 Reference Case",6.5
2027,"ATL","Electricity","NIR 2022",0
2027,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2027,"Northwest Territories","Electricity","2022 Reference Case",0
2027,"Northwest Territories","Electricity","NIR 2022",0
2027,"ON","Electricity","2022 Additional Measures Scenario",13.1
2027,"ON","Electricity","2022 Reference Case",13.1
2027,"ON","Electricity","NIR 2022",0
2027,"QC","Electricity","2022 Additional Measures Scenario",0
2027,"QC","Electricity","2022 Reference Case",0.2
2027,"QC","Electricity","NIR 2022",0
2027,"SK","Electricity","2022 Additional Measures Scenario",5.2
2027,"SK","Electricity","2022 Reference Case",6
2027,"SK","Electricity","NIR 2022",0
2028,"AB","Electricity","2022 Additional Measures Scenario",6.2
2028,"AB","Electricity","2022 Reference Case",12.8
2028,"AB","Electricity","NIR 2022",0
2028,"BC","Electricity","2022 Additional Measures Scenario",0.1
2028,"BC","Electricity","2022 Reference Case",0.2
2028,"BC","Electricity","NIR 2022",0
2028,"Canada","Electricity","2022 Additional Measures Scenario",25.3
2028,"Canada","Electricity","2022 Reference Case",35.1
2028,"Canada","Electricity","NIR 2022",0
2028,"MB","Electricity","2022 Additional Measures Scenario",0
2028,"MB","Electricity","2022 Reference Case",0
2028,"MB","Electricity","NIR 2022",0
2028,"ATL","Electricity","2022 Additional Measures Scenario",5.5
2028,"ATL","Electricity","2022 Reference Case",5.9
2028,"ATL","Electricity","NIR 2022",0
2028,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2028,"Northwest Territories","Electricity","2022 Reference Case",0
2028,"Northwest Territories","Electricity","NIR 2022",0
2028,"ON","Electricity","2022 Additional Measures Scenario",9.6
2028,"ON","Electricity","2022 Reference Case",11.1
2028,"ON","Electricity","NIR 2022",0
2028,"QC","Electricity","2022 Additional Measures Scenario",0
2028,"QC","Electricity","2022 Reference Case",0
2028,"QC","Electricity","NIR 2022",0
2028,"SK","Electricity","2022 Additional Measures Scenario",3.8
2028,"SK","Electricity","2022 Reference Case",4.9
2028,"SK","Electricity","NIR 2022",0
2029,"AB","Electricity","2022 Additional Measures Scenario",6.4
2029,"AB","Electricity","2022 Reference Case",13.1
2029,"AB","Electricity","NIR 2022",0
2029,"BC","Electricity","2022 Additional Measures Scenario",0.1
2029,"BC","Electricity","2022 Reference Case",0.2
2029,"BC","Electricity","NIR 2022",0
2029,"Canada","Electricity","2022 Additional Measures Scenario",24.1
2029,"Canada","Electricity","2022 Reference Case",33.9
2029,"Canada","Electricity","NIR 2022",0
2029,"MB","Electricity","2022 Additional Measures Scenario",0
2029,"MB","Electricity","2022 Reference Case",0
2029,"MB","Electricity","NIR 2022",0
2029,"ATL","Electricity","2022 Additional Measures Scenario",5.1
2029,"ATL","Electricity","2022 Reference Case",5.1
2029,"ATL","Electricity","NIR 2022",0
2029,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2029,"Northwest Territories","Electricity","2022 Reference Case",0
2029,"Northwest Territories","Electricity","NIR 2022",0
2029,"ON","Electricity","2022 Additional Measures Scenario",9.1
2029,"ON","Electricity","2022 Reference Case",10.7
2029,"ON","Electricity","NIR 2022",0
2029,"QC","Electricity","2022 Additional Measures Scenario",0
2029,"QC","Electricity","2022 Reference Case",0.1
2029,"QC","Electricity","NIR 2022",0
2029,"SK","Electricity","2022 Additional Measures Scenario",3.2
2029,"SK","Electricity","2022 Reference Case",4.5
2029,"SK","Electricity","NIR 2022",0
2030,"AB","Electricity","2022 Additional Measures Scenario",6.4
2030,"AB","Electricity","2022 Reference Case",12.9
2030,"AB","Electricity","NIR 2022",0
2030,"BC","Electricity","2022 Additional Measures Scenario",0.1
2030,"BC","Electricity","2022 Reference Case",0.2
2030,"BC","Electricity","NIR 2022",0
2030,"Canada","Electricity","2022 Additional Measures Scenario",19.4
2030,"Canada","Electricity","2022 Reference Case",32.5
2030,"Canada","Electricity","NIR 2022",0
2030,"MB","Electricity","2022 Additional Measures Scenario",0
2030,"MB","Electricity","2022 Reference Case",0
2030,"MB","Electricity","NIR 2022",0
2030,"ATL","Electricity","2022 Additional Measures Scenario",1.4
2030,"ATL","Electricity","2022 Reference Case",3.8
2030,"ATL","Electricity","NIR 2022",0
2030,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2030,"Northwest Territories","Electricity","2022 Reference Case",0
2030,"Northwest Territories","Electricity","NIR 2022",0
2030,"ON","Electricity","2022 Additional Measures Scenario",8.5
2030,"ON","Electricity","2022 Reference Case",10.9
2030,"ON","Electricity","NIR 2022",0
2030,"QC","Electricity","2022 Additional Measures Scenario",0
2030,"QC","Electricity","2022 Reference Case",0.1
2030,"QC","Electricity","NIR 2022",0
2030,"SK","Electricity","2022 Additional Measures Scenario",2.8
2030,"SK","Electricity","2022 Reference Case",4.5
2030,"SK","Electricity","NIR 2022",0
2031,"AB","Electricity","2022 Additional Measures Scenario",4.8
2031,"AB","Electricity","2022 Reference Case",12
2031,"AB","Electricity","NIR 2022",0
2031,"BC","Electricity","2022 Additional Measures Scenario",0.1
2031,"BC","Electricity","2022 Reference Case",0.1
2031,"BC","Electricity","NIR 2022",0
2031,"Canada","Electricity","2022 Additional Measures Scenario",13.4
2031,"Canada","Electricity","2022 Reference Case",31.3
2031,"Canada","Electricity","NIR 2022",0
2031,"MB","Electricity","2022 Additional Measures Scenario",0
2031,"MB","Electricity","2022 Reference Case",0
2031,"MB","Electricity","NIR 2022",0
2031,"ATL","Electricity","2022 Additional Measures Scenario",0.7
2031,"ATL","Electricity","2022 Reference Case",3.5
2031,"ATL","Electricity","NIR 2022",0
2031,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2031,"Northwest Territories","Electricity","2022 Reference Case",0
2031,"Northwest Territories","Electricity","NIR 2022",0
2031,"ON","Electricity","2022 Additional Measures Scenario",5.6
2031,"ON","Electricity","2022 Reference Case",11.1
2031,"ON","Electricity","NIR 2022",0
2031,"QC","Electricity","2022 Additional Measures Scenario",0
2031,"QC","Electricity","2022 Reference Case",0.1
2031,"QC","Electricity","NIR 2022",0
2031,"SK","Electricity","2022 Additional Measures Scenario",2
2031,"SK","Electricity","2022 Reference Case",4.4
2031,"SK","Electricity","NIR 2022",0
2032,"AB","Electricity","2022 Additional Measures Scenario",4.8
2032,"AB","Electricity","2022 Reference Case",12
2032,"AB","Electricity","NIR 2022",0
2032,"BC","Electricity","2022 Additional Measures Scenario",0.1
2032,"BC","Electricity","2022 Reference Case",0.1
2032,"BC","Electricity","NIR 2022",0
2032,"Canada","Electricity","2022 Additional Measures Scenario",11.8
2032,"Canada","Electricity","2022 Reference Case",30.5
2032,"Canada","Electricity","NIR 2022",0
2032,"MB","Electricity","2022 Additional Measures Scenario",0
2032,"MB","Electricity","2022 Reference Case",0
2032,"MB","Electricity","NIR 2022",0
2032,"ATL","Electricity","2022 Additional Measures Scenario",0.8
2032,"ATL","Electricity","2022 Reference Case",3.7
2032,"ATL","Electricity","NIR 2022",0
2032,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2032,"Northwest Territories","Electricity","2022 Reference Case",0
2032,"Northwest Territories","Electricity","NIR 2022",0
2032,"ON","Electricity","2022 Additional Measures Scenario",4.1
2032,"ON","Electricity","2022 Reference Case",10.6
2032,"ON","Electricity","NIR 2022",0
2032,"QC","Electricity","2022 Additional Measures Scenario",0
2032,"QC","Electricity","2022 Reference Case",0.1
2032,"QC","Electricity","NIR 2022",0
2032,"SK","Electricity","2022 Additional Measures Scenario",1.9
2032,"SK","Electricity","2022 Reference Case",3.9
2032,"SK","Electricity","NIR 2022",0
2033,"AB","Electricity","2022 Additional Measures Scenario",4.8
2033,"AB","Electricity","2022 Reference Case",12.2
2033,"AB","Electricity","NIR 2022",0
2033,"BC","Electricity","2022 Additional Measures Scenario",0.1
2033,"BC","Electricity","2022 Reference Case",0.1
2033,"BC","Electricity","NIR 2022",0
2033,"Canada","Electricity","2022 Additional Measures Scenario",10.1
2033,"Canada","Electricity","2022 Reference Case",29.2
2033,"Canada","Electricity","NIR 2022",0
2033,"MB","Electricity","2022 Additional Measures Scenario",0
2033,"MB","Electricity","2022 Reference Case",0
2033,"MB","Electricity","NIR 2022",0
2033,"ATL","Electricity","2022 Additional Measures Scenario",0.7
2033,"ATL","Electricity","2022 Reference Case",3.1
2033,"ATL","Electricity","NIR 2022",0
2033,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2033,"Northwest Territories","Electricity","2022 Reference Case",0
2033,"Northwest Territories","Electricity","NIR 2022",0
2033,"ON","Electricity","2022 Additional Measures Scenario",2.5
2033,"ON","Electricity","2022 Reference Case",9.8
2033,"ON","Electricity","NIR 2022",0
2033,"QC","Electricity","2022 Additional Measures Scenario",0
2033,"QC","Electricity","2022 Reference Case",0.1
2033,"QC","Electricity","NIR 2022",0
2033,"SK","Electricity","2022 Additional Measures Scenario",1.9
2033,"SK","Electricity","2022 Reference Case",3.7
2033,"SK","Electricity","NIR 2022",0
2034,"AB","Electricity","2022 Additional Measures Scenario",4.8
2034,"AB","Electricity","2022 Reference Case",12
2034,"AB","Electricity","NIR 2022",0
2034,"BC","Electricity","2022 Additional Measures Scenario",0.1
2034,"BC","Electricity","2022 Reference Case",0.1
2034,"BC","Electricity","NIR 2022",0
2034,"Canada","Electricity","2022 Additional Measures Scenario",9.2
2034,"Canada","Electricity","2022 Reference Case",28.6
2034,"Canada","Electricity","NIR 2022",0
2034,"MB","Electricity","2022 Additional Measures Scenario",0
2034,"MB","Electricity","2022 Reference Case",0
2034,"MB","Electricity","NIR 2022",0
2034,"ATL","Electricity","2022 Additional Measures Scenario",0.9
2034,"ATL","Electricity","2022 Reference Case",3.2
2034,"ATL","Electricity","NIR 2022",0
2034,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2034,"Northwest Territories","Electricity","2022 Reference Case",0
2034,"Northwest Territories","Electricity","NIR 2022",0
2034,"ON","Electricity","2022 Additional Measures Scenario",1.5
2034,"ON","Electricity","2022 Reference Case",9.3
2034,"ON","Electricity","NIR 2022",0
2034,"QC","Electricity","2022 Additional Measures Scenario",0
2034,"QC","Electricity","2022 Reference Case",0.1
2034,"QC","Electricity","NIR 2022",0
2034,"SK","Electricity","2022 Additional Measures Scenario",1.8
2034,"SK","Electricity","2022 Reference Case",3.7
2034,"SK","Electricity","NIR 2022",0
2035,"AB","Electricity","2022 Additional Measures Scenario",1.3
2035,"AB","Electricity","2022 Reference Case",11.9
2035,"AB","Electricity","NIR 2022",0
2035,"BC","Electricity","2022 Additional Measures Scenario",0.1
2035,"BC","Electricity","2022 Reference Case",0.1
2035,"BC","Electricity","NIR 2022",0
2035,"Canada","Electricity","2022 Additional Measures Scenario",1.7
2035,"Canada","Electricity","2022 Reference Case",27.9
2035,"Canada","Electricity","NIR 2022",0
2035,"MB","Electricity","2022 Additional Measures Scenario",0
2035,"MB","Electricity","2022 Reference Case",0
2035,"MB","Electricity","NIR 2022",0
2035,"ATL","Electricity","2022 Additional Measures Scenario",0
2035,"ATL","Electricity","2022 Reference Case",2.8
2035,"ATL","Electricity","NIR 2022",0
2035,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2035,"Northwest Territories","Electricity","2022 Reference Case",0
2035,"Northwest Territories","Electricity","NIR 2022",0
2035,"ON","Electricity","2022 Additional Measures Scenario",0
2035,"ON","Electricity","2022 Reference Case",9.2
2035,"ON","Electricity","NIR 2022",0
2035,"QC","Electricity","2022 Additional Measures Scenario",0
2035,"QC","Electricity","2022 Reference Case",0.1
2035,"QC","Electricity","NIR 2022",0
2035,"SK","Electricity","2022 Additional Measures Scenario",0
2035,"SK","Electricity","2022 Reference Case",3.6
2035,"SK","Electricity","NIR 2022",0
